Name,RA hour,RA minute,RA second,DEC degree,DEC arcminute,DEC arcsecond
Polaris,2,31,49.08,89,15,50.8
Kochab,14,50,42.33,74,9,19.8
Pherkad (Gamma Ursae Minoris),15,20,43.71,71,50,2.5
Epsilon ursae minoris,16,45,58.24,82,2,14.1
Yildun (delta ursae minoris),17,32,13,86,35,11.2
zeta ursae minoris,15,44,3.52,77,47,40.2
eta ursae minoris,16,17,30.29,75,45,19.2
Alioth,12,54,1.75,55,57,35.4
Dubhe,11,3,43.67,61,45,3.7
Alkaid,13,47,32.44,49,18,47.8
Mizar,13,23,55.54,54,55,31.3
Merak,11,1,50.48,56,22,56.7
Phecda,11,53,49.85,53,41,41.1
Megrez,12,15,25.56,57,1,57.4
Alderamin (alpha),21,18,34.58,62,35,7.6
Errai (gamma),23,39,20.98,77,37,55.1
Alfirk (beta),21,28,39.58,70,33,38.5
Zeta cephei,22,10,51.26,58,12,4.5
Al kidr (eta),20,45,17.27,61,50,12.5
iota cephei,22,49,40.91,66,12,2.6
Schedar (alpha),0,40,30.39,56,32,14.7
Caph (beta),0,9,10.09,59,9,0.8
Tsih (gamma),0,56,42.5,60,43,0.3
Ruchbah (delta),1,25,48.6,60,14,7.5
Segin (epsilon),1,54,23.68,63,40,12.5
Arcturus (alpha),14,15,40.35,19,11,14.2
Epsilon bootis,14,44,59.22,27,4,27.2
eta bootis,13,54,41.12,18,23,54.9
gamma bootis,14,32,4.76,38,18,28.4
delta bootis,15,15,30.1,33,18,54.4
beta bootis,15,1,56.79,40,23,26.3
Rho bootis,14,31,49.86,30,22,16.1
pi bootis,14,40,43.56,16,25,5.9
zeta bootis,14,41,8.9,13,43,42