name,x,y,magnitude
Polaris,1.296304204,1.011127073,1
Kochab,-26.19075465,-24.1481453,1
Pherkad (Gamma Ursae Minoris),-26.20731623,-31.43505105,1
Epsilon ursae minoris,-5.655783229,-16.89616721,1
Yildun (delta ursae minoris),-0.9224870156,-7.572228759,1
zeta ursae minoris,-15.29982359,-22.69545087,1
eta ursae minoris,-13.83346088,-28.84191921,1
Alioth,-76.19762055,-18.30368661,1
Dubhe,-62.48700242,15.65860241,1
Alkaid,-84.65838428,-42.92209492,1
Mizar,-75.53591497,-28.96741525,1
Merak,-74.85713332,19.41467173,1
Phecda,-83.90361925,2.259068949,1
Megrez,-75.57988583,-5.094874363,1